strategy,price_hydro [$/kWh],price_solar [$/kWh],price_wind [$/kWh],price_thermal [$/kWh],price_cogen [$/kWh],co2_hydro [kg/kWh],co2_solar [kg/kWh],co2_wind [kg/kWh],co2_thermal [kg/kWh],co2_cogen [kg/kWh],wind_capacity [kW],solar_capacity [kW],cost_conventional [$],co2_conventional [kg],co2_regression [kg]
cost_conventional,66.0,61.568999999999996,90.97,126.0,70.35000000000001,22.799999999999997,38.949999999999996,12.100000000000001,495.0,206.14999999999998,1124232.67006859,6197246.70471616,10364579153162.127,0,0
cost_conventional,69.3,75.251,86.4215,114.0,60.300000000000004,21.6,45.1,9.9,495.0,238.70000000000002,1781688.68217657,2102027.4886929,10859587021101.133,0,0
co2_conventional,66.0,61.568999999999996,90.97,126.0,70.35000000000001,22.799999999999997,38.949999999999996,12.100000000000001,495.0,206.14999999999998,6710551.29823204,1339166.74906383,0.0,4283253319316.601,0
co2_conventional,69.3,75.251,86.4215,114.0,60.300000000000004,21.6,45.1,9.9,495.0,238.70000000000002,6893744.81731606,1160124.33776227,0.0,4115168071699.043,0
cost_conventional,69.3,71.8305,95.5185,114.0,60.300000000000004,24,36.9,11.55,495.0,217.0,32709.3643550685,5063219.69101126,10886200695558.62,0,0
cost_conventional,66.0,68.41,90.97,126.0,63.65,21.6,38.949999999999996,11.55,605.0,195.3,1449204.11165715,3887247.60659657,10539974930676.035,0,0
co2_conventional,69.3,71.8305,95.5185,114.0,60.300000000000004,24,36.9,11.55,495.0,217.0,6707912.62905523,1341745.6268233,0.0,4353522053439.307,0
co2_conventional,66.0,68.41,90.97,126.0,63.65,21.6,38.949999999999996,11.55,605.0,195.3,6599092.63982311,1448099.78917263,0.0,4435441184339.603,0
cost_conventional,66.0,64.98949999999999,86.4215,114.0,67.0,25.200000000000003,36.9,11.0,550.0,227.85000000000002,1208283.3180008,6139174.06124755,10324449676871.773,0,0
cost_conventional,62.699999999999996,68.41,86.4215,120.0,67.0,22.799999999999997,43.050000000000004,12.100000000000001,550.0,206.14999999999998,1606705.32441802,2476565.61596239,10072041671539.23,0,0
co2_conventional,66.0,64.98949999999999,86.4215,114.0,67.0,25.200000000000003,36.9,11.0,550.0,227.85000000000002,6674238.97431765,1374656.24708813,0.0,4582767590230.524,0
co2_conventional,62.699999999999996,68.41,86.4215,120.0,67.0,22.799999999999997,43.050000000000004,12.100000000000001,550.0,206.14999999999998,6714127.95457639,1335671.13863235,0.0,4455089612179.252,0
cost_conventional,59.4,68.41,81.873,126.0,73.7,21.6,45.1,9.9,550.0,227.85000000000002,2025286.18855409,2018067.56633166,9670773013523.209,0,0
cost_conventional,62.699999999999996,75.251,81.873,108.0,70.35000000000001,26.400000000000002,43.050000000000004,11.0,577.5,227.85000000000002,1818440.2495127,1482038.4181137,9992255637781.893,0,0
co2_conventional,59.4,68.41,81.873,126.0,73.7,21.6,45.1,9.9,550.0,227.85000000000002,6806261.00106588,1245625.79812841,0.0,4259119211762.212,0
co2_conventional,62.699999999999996,75.251,81.873,108.0,70.35000000000001,26.400000000000002,43.050000000000004,11.0,577.5,227.85000000000002,6760760.32339691,1290095.44468818,0.0,4799790550978.638,0
cost_conventional,69.3,68.41,86.4215,132.0,70.35000000000001,25.200000000000003,43.050000000000004,9.9,577.5,227.85000000000002,2062535.61361061,5548950.30669422,10868096954637.455,0,0
cost_conventional,59.4,68.41,81.873,126.0,67.0,21.6,45.1,9.9,550.0,206.14999999999998,2009686.12289648,1997051.80187094,9663690092984.09,0,0
co2_conventional,69.3,68.41,86.4215,132.0,70.35000000000001,25.200000000000003,43.050000000000004,9.9,577.5,227.85000000000002,6777205.68326013,1274022.73153023,0.0,4637705105846.321,0
co2_conventional,59.4,68.41,81.873,126.0,67.0,21.6,45.1,9.9,550.0,206.14999999999998,6808288.83856991,1243643.91078728,0.0,4248851434217.4136,0
cost_conventional,59.4,71.8305,81.873,120.0,70.35000000000001,22.799999999999997,36.9,9.9,577.5,227.85000000000002,1951176.29284717,1672146.91637079,9657834085802.652,0,0
cost_conventional,62.699999999999996,71.8305,100.06700000000001,114.0,67.0,22.799999999999997,45.1,10.45,550.0,195.3,32709.3643550685,3216418.82206627,10134268797236.73,0,0
co2_conventional,59.4,71.8305,81.873,120.0,70.35000000000001,22.799999999999997,36.9,9.9,577.5,227.85000000000002,6646893.6422417,1401381.94250138,0.0,4387925651896.773,0
co2_conventional,62.699999999999996,71.8305,100.06700000000001,114.0,67.0,22.799999999999997,45.1,10.45,550.0,195.3,6808917.78568945,1243029.21541254,0.0,4377565883484.9062,0
cost_conventional,59.4,68.41,81.873,120.0,60.300000000000004,24,43.050000000000004,11.0,522.5,217.0,1857364.10117418,1957548.52564357,9617942275178.04,0,0
cost_conventional,72.60000000000001,75.251,100.06700000000001,120.0,73.7,24.0,43.050000000000004,11.55,605.0,206.14999999999998,32709.3643550685,5097634.60145882,11431671786754.107,0,0
co2_conventional,59.4,68.41,81.873,120.0,60.300000000000004,24,43.050000000000004,11.0,522.5,217.0,6808917.78568945,1243029.21541254,0.0,4435760260900.599,0
co2_conventional,72.60000000000001,75.251,100.06700000000001,120.0,73.7,24.0,43.050000000000004,11.55,605.0,206.14999999999998,6689714.17496503,1359531.70964196,0.0,4679325282474.313,0
cost_conventional,66.0,68.41,95.5185,132.0,70.35000000000001,22.799999999999997,45.1,12.100000000000001,550.0,227.85000000000002,1276155.3871875,4284528.66261224,10640801715006.814,0,0
cost_conventional,62.699999999999996,71.8305,86.4215,108.0,63.65,22.799999999999997,45.1,11.0,522.5,217.0,1282975.42084025,2022264.51776722,10010258152163.045,0,0
co2_conventional,66.0,68.41,95.5185,132.0,70.35000000000001,22.799999999999997,45.1,12.100000000000001,550.0,227.85000000000002,6749897.70076996,1300711.92368762,0.0,4477800369714.34,0
co2_conventional,62.699999999999996,71.8305,86.4215,108.0,63.65,22.799999999999997,45.1,11.0,522.5,217.0,6832998.37852735,1219494.28126843,0.0,4342025798223.5776,0
cost_conventional,59.4,75.251,95.5185,120.0,63.65,25.200000000000003,43.050000000000004,11.55,605.0,206.14999999999998,1055476.10364839,1945519.92830994,9834369119771.434,0,0
cost_conventional,59.4,61.568999999999996,86.4215,114.0,63.65,24.0,41,11.0,577.5,195.3,970435.878554605,4532583.4491669,9542064287911.244,0,0
co2_conventional,59.4,75.251,95.5185,120.0,63.65,25.200000000000003,43.050000000000004,11.55,605.0,206.14999999999998,6700361.87768681,1349125.28052994,0.0,4785241586859.942,0
co2_conventional,59.4,61.568999999999996,86.4215,114.0,63.65,24.0,41,11.0,577.5,195.3,6699375.59940478,1350089.2100549,0.0,4560369998208.063,0
cost_conventional,66.0,61.568999999999996,90.97,132.0,70.35000000000001,22.799999999999997,43.050000000000004,10.45,550.0,217.0,1372804.28017868,6025502.5142135,10409696058930.744,0,0
cost_conventional,72.60000000000001,61.568999999999996,90.97,126.0,60.300000000000004,25.200000000000003,36.9,10.45,522.5,227.85000000000002,1223031.80534864,6128983.97147997,11016971614696.82,0,0
co2_conventional,66.0,61.568999999999996,90.97,132.0,70.35000000000001,22.799999999999997,43.050000000000004,10.45,550.0,217.0,6766155.57094689,1284822.45175837,0.0,4375852288186.161,0
co2_conventional,72.60000000000001,61.568999999999996,90.97,126.0,60.300000000000004,25.200000000000003,36.9,10.45,522.5,227.85000000000002,6723088.80423559,1326913.33902069,0.0,4481706772823.081,0
cost_conventional,66.0,68.41,81.873,132.0,63.65,22.799999999999997,36.9,10.45,550.0,195.3,2363291.31307214,3452322.11329524,10443644317132.227,0,0
cost_conventional,59.4,71.8305,90.97,108.0,67.0,26.400000000000002,43.050000000000004,9.9,577.5,217.0,624690.98577708,2323272.08093811,9653283930541.875,0,0
co2_conventional,66.0,68.41,81.873,132.0,63.65,22.799999999999997,36.9,10.45,550.0,195.3,6666461.71754338,1382257.27365904,0.0,4327639126213.2812,0
co2_conventional,59.4,71.8305,90.97,108.0,67.0,26.400000000000002,43.050000000000004,9.9,577.5,217.0,6796858.47294593,1254815.26790519,0.0,4738111110850.049,0
cost_conventional,69.3,61.568999999999996,95.5185,126.0,73.7,21.6,43.050000000000004,11.55,577.5,227.85000000000002,32709.3643550685,6878199.15089974,10732592083921.867,0,0
cost_conventional,69.3,64.98949999999999,95.5185,132.0,60.300000000000004,21.6,41,9.9,605.0,238.70000000000002,1115106.87675774,6203551.93798142,10867422819393.48,0,0
co2_conventional,69.3,61.568999999999996,95.5185,126.0,73.7,21.6,43.050000000000004,11.55,577.5,227.85000000000002,6688341.3959346,1360873.38192939,0.0,4404599246769.005,0
co2_conventional,69.3,64.98949999999999,95.5185,132.0,60.300000000000004,21.6,41,9.9,605.0,238.70000000000002,6667956.16341324,1380796.69146467,0.0,4386082815525.226,0
cost_conventional,66.0,75.251,90.97,132.0,63.65,21.6,36.9,12.100000000000001,495.0,206.14999999999998,1811265.08499129,2036803.6129116,10664896147069.314,0,0
cost_conventional,69.3,75.251,90.97,108.0,73.7,25.200000000000003,38.949999999999996,11.0,577.5,217.0,989399.38600403,2504021.1886638,10885065915307.03,0,0
co2_conventional,66.0,75.251,90.97,132.0,63.65,21.6,36.9,12.100000000000001,495.0,206.14999999999998,6663690.62137581,1384965.57765511,0.0,4164399345918.38,0
co2_conventional,69.3,75.251,90.97,108.0,73.7,25.200000000000003,38.949999999999996,11.0,577.5,217.0,6680462.00343441,1368574.22986265,0.0,4663622348003.652,0
cost_conventional,69.3,68.41,95.5185,108.0,67.0,22.799999999999997,38.949999999999996,12.100000000000001,577.5,217.0,32709.3643550737,6878199.15089974,10724377647643.107,0,0
cost_conventional,62.699999999999996,75.251,86.4215,132.0,70.35000000000001,22.799999999999997,45.1,9.9,577.5,238.70000000000002,2039561.99350341,1722535.02615997,10219952526606.701,0,0
co2_conventional,69.3,68.41,95.5185,108.0,67.0,22.799999999999997,38.949999999999996,12.100000000000001,577.5,217.0,6622452.43793382,1425269.31677246,0.0,4506943921409.252,0
co2_conventional,62.699999999999996,75.251,86.4215,132.0,70.35000000000001,22.799999999999997,45.1,9.9,577.5,238.70000000000002,6780265.29192919,1271032.45263561,0.0,4443750431617.058,0
cost_conventional,66.0,61.568999999999996,95.5185,108.0,70.35000000000001,22.799999999999997,43.050000000000004,10.45,522.5,206.14999999999998,32709.3643550685,6878199.15089974,10171988928913.902,0,0
cost_conventional,66.0,75.251,86.4215,120.0,73.7,22.799999999999997,41.0,11.55,550.0,227.85000000000002,1872037.47954124,1850046.38262189,10534440150766.012,0,0
co2_conventional,66.0,61.568999999999996,95.5185,108.0,70.35000000000001,22.799999999999997,43.050000000000004,10.45,522.5,206.14999999999998,6809853.43076638,1242114.77176009,0.0,4296776744097.123,0
co2_conventional,66.0,75.251,86.4215,120.0,73.7,22.799999999999997,41.0,11.55,550.0,227.85000000000002,6694287.51473637,1355062.00031787,0.0,4424591440364.711,0
cost_conventional,72.60000000000001,75.251,95.5185,126.0,63.65,26.400000000000002,36.9,10.45,605.0,227.85000000000002,1410169.80080436,3556673.03872666,11440463254973.742,0,0
cost_conventional,72.60000000000001,64.98949999999999,95.5185,114.0,73.7,22.799999999999997,36.9,9.9,550.0,206.14999999999998,32709.3643550685,6878199.15089974,11037989938003.766,0,0
co2_conventional,72.60000000000001,75.251,95.5185,126.0,63.65,26.400000000000002,36.9,10.45,605.0,227.85000000000002,6647852.02744156,1400445.27401006,0.0,4806696033096.78,0
co2_conventional,72.60000000000001,64.98949999999999,95.5185,114.0,73.7,22.799999999999997,36.9,9.9,550.0,206.14999999999998,6678295.68119608,1370691.46391737,0.0,4304898856973.951,0
cost_conventional,62.699999999999996,75.251,100.06700000000001,108.0,70.35000000000001,21.6,38.949999999999996,11.55,577.5,217.0,32709.3643550685,2728613.28449718,10105241056302.373,0,0
cost_conventional,72.60000000000001,75.251,90.97,126.0,60.300000000000004,22.799999999999997,36.9,10.45,495.0,217.0,1832237.01139438,3209892.04684386,11377502365422.992,0,0
co2_conventional,62.699999999999996,75.251,100.06700000000001,108.0,70.35000000000001,21.6,38.949999999999996,11.55,577.5,217.0,6622483.02460672,1425239.42318399,0.0,4373108933468.3823,0
co2_conventional,72.60000000000001,75.251,90.97,126.0,60.300000000000004,22.799999999999997,36.9,10.45,495.0,217.0,6725214.85009199,1324835.4686977,0.0,4191660895081.5063,0
cost_conventional,59.4,64.98949999999999,86.4215,120.0,63.65,21.6,36.9,9.9,605.0,195.3,1432980.97813321,2673652.43940668,9643072036344.285,0,0
cost_conventional,66.0,71.8305,86.4215,114.0,60.300000000000004,25.200000000000003,36.9,11.55,522.5,206.14999999999998,1583463.5013787,2283801.55831944,10440331228516.545,0,0
co2_conventional,59.4,64.98949999999999,86.4215,120.0,63.65,21.6,36.9,9.9,605.0,195.3,6613502.89171137,1434016.06907971,0.0,4339103417992.225,0
co2_conventional,66.0,71.8305,86.4215,114.0,60.300000000000004,25.200000000000003,36.9,11.55,522.5,206.14999999999998,6692179.25704097,1357122.48555402,0.0,4527450499440.733,0
cost_conventional,59.4,75.251,95.5185,126.0,70.35000000000001,25.200000000000003,43.050000000000004,11.0,522.5,217.0,1283415.02941075,1896550.06982157,9898042725934.67,0,0
cost_conventional,62.699999999999996,71.8305,90.97,132.0,60.300000000000004,26.400000000000002,41.0,10.45,522.5,217.0,1676836.74486781,2166854.47901955,10240128510425.904,0,0
co2_conventional,59.4,75.251,95.5185,126.0,70.35000000000001,25.200000000000003,43.050000000000004,11.0,522.5,217.0,6830229.78241153,1222200.14186315,0.0,4541156584805.815,0
co2_conventional,62.699999999999996,71.8305,90.97,132.0,60.300000000000004,26.400000000000002,41.0,10.45,522.5,217.0,6828258.93261955,1224126.33281594,0.0,4606436116429.695,0
cost_conventional,66.0,68.41,86.4215,108.0,73.7,25.200000000000003,43.050000000000004,11.55,605.0,195.3,1141762.18802993,3664218.04382569,10370353246920.305,0,0
cost_conventional,66.0,71.8305,100.06700000000001,120.0,63.65,21.6,43.050000000000004,12.100000000000001,550.0,238.70000000000002,32709.3643550685,3856681.4029627,10594617890319.645,0,0
co2_conventional,66.0,68.41,86.4215,108.0,73.7,25.200000000000003,43.050000000000004,11.55,605.0,195.3,6701246.19256109,1348261.00395381,0.0,4780139434034.009,0
co2_conventional,66.0,71.8305,100.06700000000001,120.0,63.65,21.6,43.050000000000004,12.100000000000001,550.0,238.70000000000002,6699375.59940478,1350089.2100549,0.0,4364540636275.7905,0
cost_conventional,62.699999999999996,61.568999999999996,81.873,114.0,63.65,26.400000000000002,41,12.100000000000001,605.0,195.3,1507146.33842245,5932682.30826432,9842153555987.98,0,0
cost_conventional,59.4,64.98949999999999,86.4215,126.0,60.300000000000004,26.400000000000002,43.050000000000004,9.9,522.5,195.3,1616228.79978702,2651219.71143571,9682768344334.703,0,0
co2_conventional,62.699999999999996,61.568999999999996,81.873,114.0,63.65,26.400000000000002,41,12.100000000000001,605.0,195.3,6672112.55623981,1376734.48119813,0.0,4901078898677.699,0
co2_conventional,59.4,64.98949999999999,86.4215,126.0,60.300000000000004,26.400000000000002,43.050000000000004,9.9,522.5,195.3,6882470.78891267,1171142.90021207,0.0,4578903375604.399,0
cost_conventional,69.3,71.8305,81.873,108.0,60.300000000000004,21.6,43.050000000000004,9.9,522.5,227.85000000000002,1961574.96190571,2764586.12809734,10719654061599.762,0,0
cost_conventional,72.60000000000001,71.8305,81.873,132.0,67.0,25.200000000000003,43.050000000000004,9.9,522.5,195.3,2844103.85997874,5008945.7352324,11189456314559.402,0,0
co2_conventional,69.3,71.8305,81.873,108.0,60.300000000000004,21.6,43.050000000000004,9.9,522.5,227.85000000000002,6808288.83856991,1243643.91078728,0.0,4173196987348.626,0
co2_conventional,72.60000000000001,71.8305,81.873,132.0,67.0,25.200000000000003,43.050000000000004,9.9,522.5,195.3,6861363.98902685,1191771.42662125,0.0,4473730390029.528,0
cost_conventional,66.0,64.98949999999999,100.06700000000001,132.0,73.7,24,45.1,11.0,495.0,195.3,32709.3643550685,6878199.15089974,10573758702806.13,0,0
cost_conventional,62.699999999999996,68.41,81.873,108.0,70.35000000000001,25.200000000000003,41,10.45,550.0,227.85000000000002,1623099.17164069,2265894.47693882,9934797881016.717,0,0
co2_conventional,66.0,64.98949999999999,100.06700000000001,132.0,73.7,24,45.1,11.0,495.0,195.3,6896838.59337842,1157100.66569679,0.0,4362217492835.012,0
co2_conventional,62.699999999999996,68.41,81.873,108.0,70.35000000000001,25.200000000000003,41,10.45,550.0,227.85000000000002,6760760.32339694,1290095.44468815,0.0,4580036460907.23,0
cost_conventional,69.3,71.8305,100.06700000000001,120.0,67.0,22.799999999999997,36.9,11.55,495.0,195.3,32709.3643550685,5361884.00865309,10974515130794.514,0,0
cost_conventional,69.3,68.41,95.5185,126.0,70.35000000000001,24.0,41,10.45,550.0,217.0,934519.024829691,6328324.49117147,10935771437751.764,0,0
co2_conventional,69.3,71.8305,100.06700000000001,120.0,67.0,22.799999999999997,36.9,11.55,495.0,195.3,6693414.1801944,1355915.54537257,0.0,4237428144875.7104,0
co2_conventional,69.3,68.41,95.5185,126.0,70.35000000000001,24.0,41,10.45,550.0,217.0,6741651.7553364,1308771.01857955,0.0,4469238335039.451,0
cost_conventional,59.4,64.98949999999999,95.5185,132.0,70.35000000000001,22.799999999999997,43.050000000000004,9.9,495.0,238.70000000000002,1145672.65461781,3175105.32570218,9835611558051.084,0,0
cost_conventional,72.60000000000001,75.251,86.4215,126.0,70.35000000000001,26.400000000000002,45.1,9.9,522.5,227.85000000000002,2282246.5900903,2986372.57673598,11326608817497.275,0,0
co2_conventional,59.4,64.98949999999999,95.5185,132.0,70.35000000000001,22.799999999999997,43.050000000000004,9.9,495.0,238.70000000000002,6869707.31862513,1183617.15425929,0.0,4209202240003.6055,0
co2_conventional,72.60000000000001,75.251,86.4215,126.0,70.35000000000001,26.400000000000002,45.1,9.9,522.5,227.85000000000002,6922319.05021376,1132197.58803512,0.0,4605311605625.279,0
